Month,Raw_C20,Raw_C22,Raw_C29,Raw_F,EngleGranger_P_C22,EngleGranger_P_C29,EngleGranger_P_F,System_Cointegrated
2000-01-01,78.9,79.8,91.2,104.2,,,,
2000-02-01,80.1,81.3,94.7,106.5,,,,
2000-03-01,78.9,81.7,94.7,105.0,,,,
2000-04-01,79.6,81.6,96.2,103.8,,,,
2000-05-01,80.8,82.8,98.5,106.4,,,,
2000-06-01,81.1,81.8,95.8,103.1,,,,
2000-07-01,79.8,82.7,99.3,103.3,,,,
2000-08-01,81.5,80.3,96.9,105.3,,,,
2000-09-01,80.3,82.6,96.4,102.9,,,,
2000-10-01,82.3,83.1,96.0,102.3,,,,
2000-11-01,83.0,85.0,98.7,103.6,,,,
2000-12-01,84.5,85.9,102.5,107.7,,,,
2001-01-01,81.3,83.6,103.4,104.5,,,,
2001-02-01,80.8,83.8,103.2,105.5,,,,
2001-03-01,80.0,83.7,102.4,102.2,,,,
2001-04-01,79.4,81.6,98.6,101.9,,,,
2001-05-01,79.7,83.1,99.4,104.5,,,,
2001-06-01,79.9,83.1,100.0,104.5,,,,
2001-07-01,79.1,81.4,95.7,103.2,,,,
2001-08-01,79.0,83.3,102.7,104.4,,,,
2001-09-01,78.3,82.4,99.3,103.5,,,,
2001-10-01,79.1,81.7,96.0,104.8,,,,
2001-11-01,77.8,80.2,94.3,104.0,,,,
2001-12-01,76.6,80.8,95.6,105.6,,,,
2002-01-01,78.6,81.0,96.7,103.7,,,,
2002-02-01,80.2,82.3,95.9,105.6,,,,
2002-03-01,81.2,82.7,97.8,105.1,,,,
2002-04-01,80.8,83.2,98.4,102.9,,,,
2002-05-01,81.9,82.5,96.5,102.5,,,,
2002-06-01,80.9,82.6,100.9,102.2,,,,
2002-07-01,81.8,82.5,97.3,101.9,,,,
2002-08-01,81.5,83.3,105.6,103.5,,,,
2002-09-01,82.2,83.2,100.8,104.2,,,,
2002-10-01,81.4,83.1,99.1,102.7,,,,
2002-11-01,82.1,83.8,101.7,103.5,,,,
2002-12-01,81.1,82.6,99.3,102.8,,,,
2003-01-01,82.1,84.0,101.0,101.5,,,,
2003-02-01,81.1,83.0,99.8,100.7,,,,
2003-03-01,83.5,83.6,100.2,104.5,,,,
2003-04-01,82.4,84.0,100.3,103.8,,,,
2003-05-01,80.8,82.5,99.1,102.6,,,,
2003-06-01,80.5,83.0,95.8,104.2,,,,
2003-07-01,80.8,84.6,99.7,103.6,,,,
2003-08-01,80.0,84.3,97.0,101.2,,,,
2003-09-01,79.0,84.4,98.0,102.7,,,,
2003-10-01,80.8,85.7,99.2,102.3,,,,
2003-11-01,81.6,86.4,105.5,102.4,,,,
2003-12-01,81.9,86.3,107.2,103.9,,,,
2004-01-01,81.7,86.2,99.4,101.7,,,,
2004-02-01,84.3,86.7,102.1,103.6,,,,
2004-03-01,82.1,86.5,102.3,103.3,,,,
2004-04-01,84.4,87.3,103.3,103.4,,,,
2004-05-01,83.1,86.4,107.0,102.2,,,,
2004-06-01,84.3,87.5,106.4,102.3,,,,
2004-07-01,83.5,86.4,104.3,101.8,,,,
2004-08-01,85.4,84.6,103.8,100.6,,,,
2004-09-01,85.6,85.9,106.4,102.2,,,,
2004-10-01,86.9,85.8,108.3,103.0,,,,
2004-11-01,85.8,86.1,104.2,102.9,,,,
2004-12-01,86.0,85.5,103.1,101.4,,,,
2005-01-01,86.7,86.7,107.3,103.9,0.0009017641944773458,0.3217559062089834,0.6185380966685033,1
2005-02-01,85.5,85.5,105.3,101.4,0.0015053053716932462,0.2292639428598955,0.7905479290192794,1
2005-03-01,85.5,84.9,106.4,101.0,0.0024029566242999775,0.16555188088148365,0.6324083067368033,1
2005-04-01,86.8,87.4,111.1,103.5,0.00625188481379136,0.1292470871992245,0.48732567666202903,1
2005-05-01,85.8,85.7,104.8,104.3,0.003593615415948021,0.09803897034448827,0.6614997947433401,1
2005-06-01,85.1,86.4,108.6,104.1,0.005874603027537285,0.10417071134892864,0.728653243616383,1
2005-07-01,85.5,87.5,111.0,105.1,0.0050893362377581975,0.08298546951918834,0.6768885395231872,1
2005-08-01,87.0,86.2,104.3,105.0,0.002014542528276391,0.07369601418673645,0.75504734380316,1
2005-09-01,87.9,89.0,110.4,105.4,0.5976502294541738,0.06320089576796158,0.8709534762018138,1
2005-10-01,88.2,88.3,110.0,105.2,0.568014759271664,0.051073673166530456,0.939544822745359,1
2005-11-01,88.2,88.6,111.0,104.9,0.5314961740390742,0.03679914426750691,0.9584368730468403,1
2005-12-01,89.1,88.3,107.9,104.8,0.5223200451122545,0.027954923618185946,0.9610118078277192,1
2006-01-01,88.4,87.5,108.1,104.0,0.5513427795396806,0.039585495653853935,0.9742532388978804,1
2006-02-01,87.4,87.8,109.0,104.4,0.5894048966380462,0.038750613991756964,0.96759625356876,1
2006-03-01,87.9,87.6,110.3,104.0,0.4809596327666617,0.018055102917770058,0.9409983314969861,1
2006-04-01,87.9,88.9,108.4,106.8,0.4602049203482834,0.01270762366485662,0.9438826039669165,1
2006-05-01,91.7,91.0,114.0,106.9,0.4072676244739274,0.012082718070097467,0.9588035449453144,1
2006-06-01,90.2,91.2,111.6,108.0,0.393461703724558,0.010015695219255464,0.9763407081535609,1
2006-07-01,90.2,91.5,115.6,108.5,0.36877396518613936,0.008291064716257126,0.9518612448349345,1
2006-08-01,90.7,91.6,109.0,108.5,0.3452884513864851,0.004145595683615864,0.88762332299267,1
2006-09-01,91.9,92.5,113.5,108.8,0.3371617499859315,0.006569858986787045,0.8524869265702089,1
2006-10-01,90.3,92.3,110.3,111.7,0.32577471524306334,0.005634165164746595,0.8316068644540375,1
2006-11-01,90.0,93.1,113.6,112.7,0.3367516597939506,0.0047509054673706055,0.8774058924079078,1
2006-12-01,95.8,92.5,114.7,116.2,0.39534495713705053,0.002297697369665627,0.7991181566964544,1
2007-01-01,92.5,95.6,116.1,111.0,0.2091330027598059,0.0039951475637232,0.8122260632544197,1
2007-02-01,93.2,95.6,115.1,112.9,0.1585596411017336,0.0021209582214254783,0.535562032238279,1
2007-03-01,94.4,96.5,117.1,112.2,0.2005512006948908,0.0012960528130945691,0.7733663454483257,1
2007-04-01,92.1,94.8,114.4,112.5,0.23578209888797136,0.0010967994198330916,0.8084229896334676,1
2007-05-01,93.7,96.5,117.0,111.5,0.49943061318205545,0.0006598616253071208,0.843287632973363,1
2007-06-01,93.8,96.4,119.9,110.9,0.4732284702810597,3.401217864170121e-10,0.8518406302410805,1
2007-07-01,93.3,95.7,119.8,112.0,0.5123051579813298,6.325045654756187e-10,0.5801210434487242,1
2007-08-01,93.1,96.0,115.8,111.8,0.3290754640459347,1.8526360959597005e-09,0.5708921413779334,1
2007-09-01,92.9,95.2,120.4,111.7,0.5541977655209154,7.193416943846087e-10,0.631262840005633,1
2007-10-01,94.8,96.3,120.8,112.0,0.5436361623843478,2.1944183690821556e-10,0.6299971295970639,1
2007-11-01,92.9,95.1,119.2,111.3,0.2948472382823908,4.665841933682969e-11,0.6183141871786986,1
2007-12-01,93.9,96.2,119.1,112.0,0.5169067275760121,0.00028648160540818376,0.5803393383723435,0
2008-01-01,95.8,97.0,123.5,114.4,0.4987160267117341,0.00014967404387135789,0.48731197990730696,0
2008-02-01,94.8,98.4,124.4,115.4,0.5151498783598328,7.903922085475572e-05,0.5653879347872657,1
2008-03-01,93.5,96.8,120.1,114.5,0.5284432285012767,0.0003408036069466576,0.5755458731931415,0
2008-04-01,93.9,97.3,123.5,111.8,0.5382452641343184,0.00041292116571842673,0.49174233206196394,0
2008-05-01,92.7,94.5,115.5,110.9,0.5755760491685523,0.0008902868272326255,0.4089832407551468,0
2008-06-01,92.2,94.1,115.9,110.5,0.4357740764066787,0.0006959792312489231,0.4250269063728609,0
2008-07-01,93.1,93.7,112.7,109.5,0.34742203273866623,0.0001633285130036552,0.3234594991336311,1
2008-08-01,93.1,92.0,113.1,110.6,0.13620579432794622,0.00010846830935423391,0.3161404839809502,1
2008-09-01,91.4,91.2,109.5,108.3,0.24599253246191977,0.001959404050287937,0.23134381368970736,0
2008-10-01,89.8,87.1,98.7,106.8,0.2877192844881086,0.007405809844458528,0.1629113394370078,0
2008-11-01,78.8,82.0,91.6,105.6,0.3876534882416247,0.20832946638091288,0.018268894243621256,0
2008-12-01,71.7,76.1,77.4,103.6,0.16195683424392088,0.053417188864830656,0.08075126287284468,1
2009-01-01,71.3,76.1,74.5,102.8,0.1406487550725466,0.04331055503159727,0.36475903532981135,1
2009-02-01,74.2,74.8,66.6,105.8,0.19755389686785702,0.3324214078715958,0.3788554977290713,1
2009-03-01,72.9,74.8,75.1,104.8,0.07728111961362934,0.821415857458869,0.5911179970894931,1
2009-04-01,74.8,74.5,72.0,103.9,0.07366738885871414,0.8092568378882703,0.7320764883468647,1
2009-05-01,76.3,76.2,81.4,103.0,0.08061239269776566,0.7663066200458611,0.5371943770781141,0
2009-06-01,80.3,77.9,84.4,103.2,0.0837097947877326,0.7231797147072674,0.3855432130025892,0
2009-07-01,83.0,80.0,85.1,102.3,0.13264115492891332,0.740902107806862,0.2539128488646773,1
2009-08-01,82.1,81.9,89.3,102.0,0.20587038373221267,0.8219334902119938,0.21233251047608503,1
2009-09-01,83.9,83.1,93.2,101.5,0.10847800072573238,0.7769943822921676,0.20831439812004238,0
2009-10-01,84.6,82.3,90.3,100.1,0.10390213850586583,0.7583226451907417,0.2289927742783821,0
2009-11-01,85.7,82.8,90.8,100.5,0.1454190028707807,0.7935614760711118,0.275809826575939,0
2009-12-01,83.1,82.7,89.2,97.9,0.19946175192133864,0.8736270676753213,0.02259904139601834,0
2010-01-01,85.0,82.5,91.7,96.5,0.11855716216448209,0.8440670911057597,0.020777742045330207,0
2010-02-01,85.6,82.1,90.4,94.9,0.17473151793552288,0.8186681478839453,0.02710444517923846,0
2010-03-01,87.3,83.3,95.8,98.8,0.24346985952190303,0.8534716712547512,0.04878801064180111,0
2010-04-01,88.1,84.4,96.3,97.6,0.32865510257683167,0.811498343477256,0.0370921080503366,0
2010-05-01,89.9,86.3,102.8,97.5,0.33757250500281866,0.813596155899726,0.04227647008998458,0
2010-06-01,91.0,86.2,102.4,104.8,0.31388342733273644,0.7217954119981255,0.08792995089520111,0
2010-07-01,90.3,86.6,98.0,95.2,0.36685619080852483,0.7513486536245075,0.029545013970509935,0
2010-08-01,90.7,87.1,98.2,95.3,0.23538062713202673,0.7285875911627279,0.674499063360493,0
2010-09-01,90.7,87.3,106.5,96.0,0.20345496397939028,0.6685845876166936,0.2397164144767272,0
2010-10-01,90.0,88.7,108.6,96.7,0.19117401409196583,0.6472494057371045,0.2543475103197955,0
2010-11-01,91.5,89.4,107.2,95.8,0.1168714293359262,0.06078957554960473,0.2215292099931871,0
2010-12-01,90.2,88.8,115.7,90.1,0.10299165921995362,0.5569135498987109,0.6053518645231337,0
2011-01-01,91.7,90.1,111.1,96.1,0.1531370564095817,0.1691342179752071,0.6587885739800304,0
2011-02-01,92.9,91.1,113.5,97.0,0.09857251458472999,0.12470377327146603,0.5164538053212924,0
2011-03-01,92.9,91.0,113.0,96.1,0.12145447137168364,0.13814566176983484,0.6087821610334617,0
2011-04-01,92.2,91.0,111.8,96.2,0.11351212546090211,0.07700370252909626,0.5718676613599415,1
2011-05-01,91.4,91.6,116.2,97.3,0.0929273368064431,0.06845489361143714,0.5521553190398004,1
2011-06-01,90.2,89.6,110.9,95.3,0.0678483847784463,0.05087417934990876,0.48189351636610744,1
2011-07-01,90.7,90.5,114.5,95.8,0.1350498925223539,0.07494669695054343,0.5043157845766846,1
2011-08-01,90.3,89.8,114.7,95.7,0.13593409261874762,0.06897284817154424,0.4983371796046105,1
2011-09-01,89.4,89.2,113.2,96.1,0.136845216788272,0.06965659738547499,0.49344211347758404,1
2011-10-01,87.7,89.2,115.1,93.9,0.13467912804171706,0.07891150467543045,0.45175260519204213,1
2011-11-01,87.9,90.6,112.1,96.5,0.13006558632379206,0.12564852478918198,0.43947195327406274,1
2011-12-01,87.2,89.3,112.9,95.2,0.1428968756448471,0.11533087635947803,0.4336779233857987,0
2012-01-01,89.1,88.9,113.4,97.2,0.14567477310214205,0.1261468838437762,0.4226481497452337,0
2012-02-01,88.3,87.2,113.0,87.7,0.10917672940109735,0.09175596000691011,0.43659207835102765,1
2012-03-01,89.6,88.7,110.6,96.3,0.10174676744759253,0.07895946785421998,0.44933975270280846,0
2012-04-01,89.7,86.9,109.2,94.1,0.10416732037777288,0.07239685779020938,0.4123712447568007,1
2012-05-01,89.8,87.3,110.0,94.8,0.11752687882126789,0.037827044949875384,0.41648704422930033,1
2012-06-01,88.1,86.4,108.4,94.2,0.007441449741606767,0.019588013735648384,0.41501741465039954,1
2012-07-01,88.6,87.5,111.0,94.1,0.0053332317563759965,0.057368752892164046,0.416747466572564,1
2012-08-01,89.3,87.9,113.9,95.2,0.007810946553811288,0.05877837824792874,0.4343426286562986,1
2012-09-01,88.6,87.0,109.7,93.2,0.008367101046931811,0.06281134662458861,0.4377940714078395,1
2012-10-01,88.2,85.9,103.7,93.7,0.009383088646807541,0.053644154298218054,0.43260651197719374,1
2012-11-01,88.0,84.8,105.2,93.4,0.01053780087002414,0.05348459837190987,0.43170399556463634,1
2012-12-01,88.3,85.7,106.3,91.6,0.14393339113378673,0.05279093952961754,0.4280223762231546,1
2013-01-01,88.5,85.6,102.5,89.2,0.013298176967858254,0.04614973138565451,0.4286171203028665,1
2013-02-01,87.7,86.1,105.5,89.3,0.015781663526225582,0.04019064328808374,0.4351863685038567,1
2013-03-01,87.9,85.9,109.1,87.9,0.013409850881820349,0.0414877711440215,0.41957652826776204,1
2013-04-01,87.5,86.9,110.6,90.8,0.013704883471924889,0.05301504903982252,0.42980466390134897,1
2013-05-01,90.1,87.1,108.3,91.1,0.0138374900530348,0.06570446286419783,0.41407951465363857,1
2013-06-01,89.3,88.7,112.0,92.4,0.018119309753302455,0.03992518128583466,0.4428818895981536,1
2013-07-01,89.6,88.1,106.3,93.4,0.011810333827595448,0.05215589127730678,0.4279233015128706,1
2013-08-01,88.5,89.4,121.0,93.2,0.01275386388546889,0.052326249482157666,0.42847038876245924,1
2013-09-01,88.7,89.5,114.1,93.2,0.011433968656660305,0.09195829328530758,0.4269102663771188,1
2013-10-01,90.4,89.6,110.4,93.5,0.01032771783645132,0.1015188188447067,0.4312222265376755,1
2013-11-01,90.3,90.0,117.9,92.4,0.00695041975891455,0.033757012499067596,0.39125920125902197,1
2013-12-01,90.4,90.1,117.8,93.3,0.014126694979477116,0.04908770512520306,0.4090420870766335,1
2014-01-01,90.8,90.2,115.5,93.6,0.04888443970893304,0.054490925451698605,0.3648253442856034,1
2014-02-01,90.8,90.6,116.4,93.4,0.05368311113440534,0.04212052816400166,0.3422735456875593,1
2014-03-01,90.5,90.2,117.0,94.2,0.054668269399500626,0.047122449417567866,0.38480250306620467,1
2014-04-01,90.5,90.5,116.3,93.9,0.0454904765323045,0.048511604882506866,0.3010131801048738,1
2014-05-01,88.7,89.2,116.4,91.7,0.04303427536299651,0.0513852413367966,0.30691470921080555,1
2014-06-01,89.3,90.4,116.9,92.3,0.04261672434765537,0.07107272834908314,0.2963332750036374,1
2014-07-01,90.4,91.0,123.1,92.1,0.043430185463235266,0.0743226883791875,0.29959496286358167,1
